Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2014,United States,High,50782.52,1.62E+13,0.0074,0.4945,0.5055,0,0,0.0499,0,318563456,19700221,0.0618,High,High,6.07219589,2.90954774
2007,Australia,High,50952.47,1.06E+12,0.0062,0.4996,0.5004,0,0,0.0466,0,20827600,1083715,0.052,High,High,6.01664455,2.92462312
2009,Australia,High,51651.22,1.12E+12,0.0206,0.5001,0.4999,0,0,0.0509,0,21691700,1199845,0.0553,High,High,6.40051369,2.93969849
2008,Australia,High,51788.44,1.10E+12,0.02,0.4999,0.5001,0,0,0.0463,0,21249200,1117804,0.0526,High,High,6.714145,2.95477387
2014,Singapore,High,51865.72,2.84E+11,0.013,0.4937,0.5063,0.9892,0.9664,0,0,5469724,0,0,Low,Low,6.28072149,2.96984925
2010,Australia,High,51874.08,1.14E+12,0.0156,0.5001,0.4999,0,0,0.0557,0,22031750,0,0,High,Low,6.16175862,2.98492462
2006,Sweden,High,52046.48,4.73E+11,0.0056,0.4963,0.5037,0,0,0.0641,0,9080505,422614,0.0465,High,High,6.50374724,3
2010,Sweden,High,52076.26,4.88E+11,0.0085,0.4981,0.5019,0,0,0.0662,0,9378126,455025,0.0485,High,High,6.82474912,1.11076
2011,Australia,High,52372.15,1.17E+12,0.0139,0.4999,0.5001,0,0,0.051,0,22340024,0,0,High,High,0.6,0
2012,Sweden,High,52519.68,5.00E+11,0.0074,0.4988,0.5012,0,0,0.0766,0,9519374,453328,0.0476,High,High,0.9059,1.11776
2008,Sweden,High,52711.2,4.86E+11,0.0078,0.4972,0.5028,0,0,0.0639,0,9219637,406879,0.0441,High,High,0.927,1.107460022
2013,Sweden,High,52722.91,5.06E+11,0.0085,0.4992,0.5008,0,0,0.0772,0,9600379,436603,0.0455,High,High,1.0407,1.1837
2011,Sweden,High,53061.57,5.01E+11,0.0076,0.4985,0.5015,0,0,0.0649,0,9449213,463530,0.0491,High,High,0.9124,1.11119
2012,Australia,High,53348.39,1.21E+12,0.0172,0.4995,0.5005,0,0,0.0489,0.0037,22728254,0,0,High,Low,0,0
2007,Sweden,High,53421.02,4.89E+11,0.0074,0.4967,0.5033,0,0,0.0622,0,9148092,413710,0.0452,High,High,0.9325,1.10552001
2014,Sweden,High,53561.89,5.19E+11,0.0099,0.4995,0.5005,0,0,0.0768,0,9696110,429444,0.0443,High,High,1.0506,1.17671
2013,Australia,High,53798.36,1.24E+12,0.017,0.4991,0.5009,0,0,0.0526,0.0035,23117353,0,0,High,High,0.8,0
2014,Australia,High,54394.33,1.28E+12,0.0147,0.4987,0.5013,0,0,0.0519,0.0032,23460694,0,0,High,High,0.6,0
